項次,案號,會勘事由,會勘時間,主持人,聯絡人,與會單位,會勘地點,三米直規平整度,會勘結論,會勘說明
84,3071,完工會勘,民國109年10月29日14時30分,董月婷,董月婷,台電公司、金城鎮公所、觀光處,中興路173巷14弄20號                                                                                                                                                                                           ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
85,3072,「金城鎮西海路三段86號預埋地下管線工程」等21案道路挖掘復原會勘,民國109年10月29日10時00分,土木科,董月婷(單一登入),中華電信股份有限公司，金城鎮公所，金寧鄉公所，觀光處,小古崗35-2號                                                                                                                                                                                                ,0,合格，核可文號,已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，自結案次日起負責保固一年。                                                                                                                                                         
86,3075,完工會勘,民國109年12月18日14時00分,董月婷,董月婷,台電公司、金湖鎮公所、觀光處,復興路2.2-1號                                                                                                                                                                                               ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
87,3076,「金城鎮西海路三段86號預埋地下管線工程」等21案道路挖掘復原會勘,民國109年10月29日10時00分,土木科,董月婷(單一登入),台電金門區處，金城鎮公所，觀光處,西海路一段                                                                                                                                                                                                   ,0,合格，核可文號,已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，自結案次日起負責保固一年。                                                                                                                                                         
88,3077,「金城鎮西海路三段86號預埋地下管線工程」等21案道路挖掘復原會勘,民國109年10月29日10時00分,土木科,董月婷(單一登入),台電金門區處，金城鎮公所，觀光處,環島北路38巷12弄                                                                                                                                                                                              ,0,合格，核可文號,已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，自結案次日起負責保固一年。                                                                                                                                                         
89,3079,完工會勘,民國109年10月14日14時30分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,慈湖路二段116巷2弄10號                                                                                                                                                                                          ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
90,3080,完工會勘,民國109年10月14日14時30分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,東洲68號                                                                                                                                                                                                   ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
91,3084,完工會勘,民國109年12月18日14時00分,董月婷,董月婷,台電公司、金湖鎮公所、觀光處,赤東路68號                                                                                                                                                                                                  ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
92,3086,完工會勘,民國109年12月18日14時00分,董月婷,董月婷,台電公司、金湖鎮公所、觀光處,太湖路三段1巷46號                                                                                                                                                                                              ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
93,3087,完工會勘,民國109年12月18日14時00分,董月婷,董月婷,台電公司、金湖鎮公所、觀光處,尚義機場(環島南路二段)                                                                                                                                                                                            ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
94,3088,「金城鎮西海路三段86號預埋地下管線工程」等21案道路挖掘復原會勘,民國109年10月29日10時00分,土木科,董月婷(單一登入),台電金門區處，金城鎮公所，觀光處,西海路二段                                                                                                                                                                                                   ,0,合格，核可文號,已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，自結案次日起負責保固一年。                                                                                                                                                         
95,3089,完工會勘,民國110年01月12日14時30分,董月婷,董月婷,台電公司、金沙鎮公所、觀光處,沙青路往文化園區                                                                                                                                                                                                ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
96,3092,完工會勘,民國110年01月12日14時30分,董月婷,董月婷,台電公司、金沙鎮公所、觀光處,英坑聚落一帶                                                                                                                                                                                                  ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
97,3093,「金城鎮西海路三段86號預埋地下管線工程」等21案道路挖掘復原會勘,民國109年10月29日10時00分,土木科,董月婷(單一登入),台電金門區處，金城鎮公所，觀光處,金門城128-8號                                                                                                                                                                                               ,0,合格，核可文號,已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，自結案次日起負責保固一年。                                                                                                                                                         
98,3095,「金城鎮西海路三段86號預埋地下管線工程」等21案道路挖掘復原會勘,民國109年10月29日10時00分,土木科,董月婷(單一登入),台電金門區處，金城鎮公所，觀光處,金門城段88-8地號                                                                                                                                                                                              ,0,合格，核可文號,已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，自結案次日起負責保固一年。                                                                                                                                                         
99,3111,「金寧鄉伯玉路一段285號等用戶光纖到家佈放光纜工程」等9案道路挖掘復原會勘,民國109年10月06日10時00分,土木科,董月婷(單一登入),中華電信股份有限公司，金城鎮公所，金寧鄉公所，觀光處,民權路                                                                                                                                                                                                     ,0,合格，核可文號,未施工，同意結案                                                                                                                                                                                                
100,3123,完工會勘,民國110年03月30日10時00分,董月婷,董月婷,台電公司、金城鎮公所、觀光處,庵前村郊往金山路段                                                                                                                                                                                               ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
101,3124,完工會勘,民國110年03月30日10時00分,董月婷,董月婷,台電公司、金城鎮公所、觀光處,慈湖路下埔下頂埔下?翔一帶                                                                                                                                                                                           ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
102,3133,完工會勘,民國109年12月18日14時00分,董月婷,董月婷,台電公司、金湖鎮公所、觀光處,星宿王朝往林兜路口                                                                                                                                                                                               ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
103,3137,完工會勘,民國109年12月18日14時00分,董月婷,董月婷,台電公司、金湖鎮公所、觀光處,塔后13-10號                                                                                                                                                                                                ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
104,3148,完工會勘,民國109年10月14日14時30分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,下堡12-8號                                                                                                                                                                                                 ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
105,3152,完工會勘,民國109年10月14日14時30分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,瓊安路(莒光.夏興.鵲山電廠用)                                                                                                                                                                                        ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
106,3155,完工會勘,民國109年10月14日14時30分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,寧山段839地號                                                                                                                                                                                                ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
107,3163,完工會勘,民國109年10月14日14時30分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,環島北路抽水站旁                                                                                                                                                                                                ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
108,3166,完工會勘,民國110年01月12日14時30分,董月婷,董月婷,台電公司、金沙鎮公所、觀光處,汶沙測段1589地號                                                                                                                                                                                              ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
109,3170,完工會勘,民國109年10月29日14時00分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,下堡123號                                                                                                                                                                                                  ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
110,3176,「金寧鄉伯玉路一段285號等用戶光纖到家佈放光纜工程」等9案道路挖掘復原會勘,民國109年10月06日10時00分,土木科,董月婷(單一登入),中華電信股份有限公司，金城鎮公所，金寧鄉公所，觀光處,林湖路                                                                                                                                                                                                     ,0,合格，核可文號,已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，自結案次日起負責保固一年。                                                                                                                                                         
111,3177,「金寧鄉伯玉路一段285號等用戶光纖到家佈放光纜工程」等9案道路挖掘復原會勘,民國109年10月06日10時00分,土木科,董月婷(單一登入),中華電信股份有限公司，金城鎮公所，金寧鄉公所，觀光處,黃海路                                                                                                                                                                                                     ,0,合格，核可文號,已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，自結案次日起負責保固一年。                                                                                                                                                         
112,3181,完工會勘,民國110年01月12日14時30分,董月婷,董月婷,台電公司、金沙鎮公所、觀光處,田埔水庫往碧山路段                                                                                                                                                                                               ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
113,3228,「金城鎮西海路三段86號預埋地下管線工程」等21案道路挖掘復原會勘,民國109年10月29日10時00分,土木科,董月婷(單一登入),台電金門區處，金城鎮公所，觀光處,城東段56地號                                                                                                                                                                                                 ,0,合格，核可文號,已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，自結案次日起負責保固一年。                                                                                                                                                         
114,3231,完工會勘,民國110年01月12日14時30分,董月婷,董月婷,台電公司、金沙鎮公所、觀光處,田墩81號                                                                                                                                                                                                   ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
115,3232,「金城鎮西海路三段86號預埋地下管線工程」等21案道路挖掘復原會勘,民國109年10月29日10時00分,土木科,董月婷(單一登入),台電金門區處，金城鎮公所，觀光處,西海路三段86號                                                                                                                                                                                                ,0,合格，核可文號,已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，自結案次日起負責保固一年。                                                                                                                                                         
116,3254,「金寧鄉伯玉路一段285號等用戶光纖到家佈放光纜工程」等9案道路挖掘復原會勘,民國109年10月06日10時00分,土木科,董月婷(單一登入),中華電信股份有限公司，金城鎮公所，金寧鄉公所，觀光處,北堤路                                                                                                                                                                                                     ,0,合格，核可文號,已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，自結案次日起負責保固一年。                                                                                                                                                         
117,3258,完工會勘,民國110年03月30日10時00分,董月婷,董月婷,台電公司、金城鎮公所、觀光處,環島北路與環島西路口一帶                                                                                                                                                                                            ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
118,3263,完工會勘,民國109年12月18日14時00分,董月婷,董月婷,台電公司、金湖鎮公所、觀光處,太湖劃測段933-1地號                                                                                                                                                                                            ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
119,3264,「金城鎮西海路三段86號預埋地下管線工程」等21案道路挖掘復原會勘,民國109年10月29日10時00分,土木科,董月婷(單一登入),台電金門區處，金城鎮公所，觀光處,珠浦北路5巷                                                                                                                                                                                                  ,0,合格，核可文號,已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，自結案次日起負責保固一年。                                                                                                                                                         
120,3265,完工,民國111年08月16日14時30分,董月婷,董月婷,水廠，金寧，觀光處，工務處,寧安二劃段26-3地號                                                                                                                                                                                             ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                           
121,3291,完工,民國111年08月26日16時30分,董月婷,董月婷,建設處，金城鎮公所，觀光處,海濱公園旁，污水廠北堤路                                                                                                                                                                                            ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                           
122,3300,完工會勘,民國109年10月29日14時30分,董月婷,董月婷,台電公司、金城鎮公所、觀光處,古崗段742地號                                                                                                                                                                                                ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
123,3302,完工會勘,民國109年10月20日14時30分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,煙墩段1006地號                                                                                                                                                                                               ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
124,3306,完工,民國111年08月04日15時00分,董月婷,董月婷,金沙鎮公所，觀光處，工務處,環島北路至高陽聯外道踏                                                                                                                                                                                             ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                           
125,3312,完工會勘,民國109年10月20日14時30分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,青山段976-2地號                                                                                                                                                                                              ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
126,3313,完工會勘,民國109年10月29日14時00分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,仁愛段77地號                                                                                                                                                                                                 ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
127,3328,完工會勘,民國110年01月12日14時30分,董月婷,董月婷,台電公司、金沙鎮公所、觀光處,新前墩5號                                                                                                                                                                                                   ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
128,3330,「金城鎮西海路三段86號預埋地下管線工程」等21案道路挖掘復原會勘,民國109年10月29日10時00分,土木科,董月婷(單一登入),台電金門區處，金城鎮公所，觀光處,西海路一段                                                                                                                                                                                                   ,0,合格，核可文號,已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，自結案次日起負責保固一年。                                                                                                                                                         
129,3332,完工會勘,民國109年10月29日14時30分,董月婷,董月婷,台電公司、金城鎮公所、觀光處,山前段833地號                                                                                                                                                                                                ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
130,3336,「金寧鄉伯玉路一段285號等用戶光纖到家佈放光纜工程」等9案道路挖掘復原會勘,民國109年10月06日10時00分,土木科,董月婷(單一登入),中華電信股份有限公司，金城鎮公所，金寧鄉公所，觀光處,伯玉路一段                                                                                                                                                                                                   ,0,合格，核可文號,已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，自結案次日起負責保固一年。                                                                                                                                                         
131,3337,「金寧鄉伯玉路一段285號等用戶光纖到家佈放光纜工程」等9案道路挖掘復原會勘,民國109年10月06日10時00分,土木科,董月婷(單一登入),中華電信股份有限公司，金城鎮公所，金寧鄉公所，觀光處,慈湖路二段                                                                                                                                                                                                   ,0,合格，核可文號,已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                                  
132,3345,完工會勘,民國110年05月11日14時30分,董月婷,董月婷,台電公司、金湖鎮公所、觀光處,林務所左側                                                                                                                                                                                                   ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
133,3347,完工會勘,民國109年10月20日14時30分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,大橋湖峰段19地號                                                                                                                                                                                               ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
134,3352,完工會勘,民國110年05月04日09時30分,董月婷,董月婷,台電公司、金湖鎮公所、觀光處,塔后段1074地號                                                                                                                                                                                               ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
135,3353,完工會勘,民國109年10月14日14時30分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,西山段667地號                                                                                                                                                                                                ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
136,3362,完工會勘,民國109年10月14日14時30分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,仁愛新村39號2F                                                                                                                                                                                               ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
137,3365,完工會勘,民國109年10月20日14時30分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,嚨口35.36號                                                                                                                                                                                                ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
138,3366,完工會勘,民國109年12月18日14時00分,董月婷,董月婷,台電公司、金湖鎮公所、觀光處,新頭段1396地號                                                                                                                                                                                               ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
139,3372,完工會勘,民國109年10月20日14時30分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,安岐聚落                                                                                                                                                                                                    ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
140,3376,完工會勘,民國109年10月29日14時00分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,埔後68號                                                                                                                                                                                                   ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
141,3396,完工會勘,民國109年10月20日14時30分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,寧湖二劃測段894地號                                                                                                                                                                                             ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
142,3411,完工查驗,民國110年05月04日09時00分,土木科,董月婷,台電，金湖鎮公所，觀光處,夏興聚落往成功                                                                                                                                                                                                 ,0,合格，核可文號,已依金門縣道路挖管理自治條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                                             
143,3446,完工會勘,民國110年05月04日09時30分,董月婷,董月婷,台電公司、金湖鎮公所、觀光處,后壟22-1號前至南機路路段                                                                                                                                                                                          ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
144,3455,完工查驗,民國110年11月26日09時00分,土木科,董月婷,自來水廠，金沙鎮公所，觀光處,金沙鎮勞楜段899-5地號                                                                                                                                                                                           ,0,合格，核可文號,已依金門縣道路挖管理自治條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                                             
145,3475,完工查驗,民國109年10月29日09時00分,土木科,董月婷,台電，金寧鄉公所，觀光處,仁愛段48地號                                                                                                                                                                                                 ,0,合格，核可文號,已依金門縣道路挖管理自治條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                                             
146,3477,完工會勘,民國110年01月12日14時30分,董月婷,董月婷,台電公司、金沙鎮公所、觀光處,榮湖段899-5地號(金沙衛生所)                                                                                                                                                                                       ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
147,3478,完工會勘,民國110年05月19日14時30分,董月婷,董月婷,台電公司、金沙鎮公所、觀光處,碧山村路口                                                                                                                                                                                                   ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
148,3487,完工查驗,民國109年12月18日09時00分,土木科,董月婷,台電，金湖鎮公所，觀光處,漁村段131地號                                                                                                                                                                                                ,0,合格，核可文號,已依金門縣道路挖管理自治條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                                             
149,3500,完工會勘,民國109年10月20日14時30分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,寧湖二劃測段752地號                                                                                                                                                                                             ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
150,3501,完工會勘,民國109年12月18日14時00分,董月婷,董月婷,台電公司、金湖鎮公所、觀光處,柏村國小前                                                                                                                                                                                                   ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
151,3502,完工會勘,民國110年05月04日09時30分,董月婷,董月婷,台電公司、金湖鎮公所、觀光處,塔后段965地號                                                                                                                                                                                                ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
152,3522,「金寧鄉伯玉路一段285號等用戶光纖到家佈放光纜工程」等9案道路挖掘復原會勘,民國109年10月06日10時00分,土木科,董月婷(單一登入),中華電信股份有限公司，金城鎮公所，金寧鄉公所，觀光處,環島西路二段                                                                                                                                                                                                  ,0,合格，核可文號,已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，自結案次日起負責保固一年。                                                                                                                                                         
153,3553,完工會勘,民國110年04月01日09時00分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,煙墩段852地號                                                                                                                                                                                                ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
154,3559,完工會勘,民國110年12月18日14時30分,董月婷,董月婷,台電公司、金沙鎮公所、觀光處,金沙鎮內洋，東山聚落                                                                                                                                                                                              ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
155,3568,完工查驗,民國110年05月19日09時00分,土木科,董月婷,台電，金沙鎮公所，觀光處,新前墩50號                                                                                                                                                                                                  ,0,合格，核可文號,已依金門縣道路挖管理自治條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                                             
156,3570,完工會勘,民國110年04月01日09時00分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,金寧鄉中山林段181-1地號                                                                                                                                                                                          ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
157,3589,完工查驗,民國110年05月04日09時00分,土木科,董月婷,台電，金湖鎮公所，觀光處,湖前段29地號                                                                                                                                                                                                 ,0,合格，核可文號,已依金門縣道路挖管理自治條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                                             
158,3590,完工會勘,民國110年04月01日09時00分,董月婷,董月婷,台電公司、金城鎮公所、觀光處,金城鎮延平段1037地號                                                                                                                                                                                            ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
159,3591,完工,民國110年04月01日09時00分,董月婷,董月婷,台電公司、金城鎮公所、觀光處,金城鎮環島西路一帶                                                                                                                                                                                               ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
160,3592,完工查驗,民國110年04月01日09時00分,土木科,董月婷,台電，金寧鄉公所，觀光處,后湖段437-7地號                                                                                                                                                                                              ,0,合格，核可文號,已依金門縣道路挖管理自治條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                                             
161,3609,完工,民國110年04月01日09時00分,董月婷,董月婷,台電，金城，觀光處,民族路224弄2號                                                                                                                                                                                               ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年                                                                                                                                          
162,3610,完工查驗,民國110年04月01日09時00分,土木科,董月婷,台電，金城鎮公所，觀光處,林湖路69號                                                                                                                                                                                                  ,0,合格，核可文號,已依金門縣道路挖管理自治條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                                             
163,3616,完工查驗,民國110年04月01日09時00分,董月婷(單一登入),董月婷,台電，金寧鄉公所，觀光處,寧山段258地號                                                                                                                                                                                                ,0,合格，核可文號,已依金門縣道路挖管理自治條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                                             
164,3617,完工查驗,民國110年05月04日09時00分,土木科,董月婷,台電，金湖鎮公所，觀光處,市港段97地號                                                                                                                                                                                                 ,0,合格，核可文號,已依金門縣道路挖管理自治條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                                             
165,3618,完工,民國109年12月18日14時00分,董月婷,董月婷,台電，金湖，觀光處,漁村90號                                                                                                                                                                                                   ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年                                                                                                                                          
166,3620,完工,民國110年05月19日14時30分,董月婷,董月婷,台電，金沙，觀光處,金沙保生新村51-1號                                                                                                                                                                                             ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年                                                                                                                                          
